dih  Etot    EPtot   BOND   ANGLE  DIHED   1-4NB  1-4EEL  VDWAALS  EELEC EGB
-180 -4.4305 -23.5128 5.4435 2.8766 9.2526 6.1446 36.6541 44.3715 -103.2651 -24.9907
-179 -4.4305 -23.5128 5.4435 2.8766 9.2526 6.1446 36.6541 44.3715 -103.2651 -24.9907
-178 0.6193 -23.4619 5.4435 2.8766 9.2557 6.1446 36.6539 44.3715 -103.2459 -24.9619
-177 -5.5843 -23.4048 5.4435 2.8766 9.2650 6.1446 36.6536 44.3715 -103.2274 -24.9323
-176 -2.6578 -23.3418 5.4435 2.8766 9.2804 6.1446 36.6529 44.3715 -103.2094 -24.9020
-175 7.0273 -23.2728 5.4435 2.8766 9.3020 6.1446 36.6521 44.3715 -103.1921 -24.8711
-174 4.9225 -23.1980 5.4435 2.8766 9.3298 6.1446 36.6509 44.3715 -103.1754 -24.8395
-173 -2.6412 -23.1172 5.4435 2.8766 9.3636 6.1446 36.6495 44.3715 -103.1594 -24.8072
-172 -2.4652 -23.0306 5.4435 2.8766 9.4034 6.1446 36.6479 44.3715 -103.1440 -24.7742
-171 -2.6668 -22.9383 5.4435 2.8766 9.4493 6.1446 36.6460 44.3715 -103.1292 -24.7406
-170 -6.0402 -22.8402 5.4435 2.8766 9.5012 6.1446 36.6438 44.3715 -103.1152 -24.7062
-169 -3.2340 -22.7364 5.4435 2.8766 9.5589 6.1446 36.6414 44.3715 -103.1018 -24.6711
-168 -4.5983 -22.6270 5.4435 2.8766 9.6225 6.1446 36.6387 44.3715 -103.0892 -24.6352
-167 0.7743 -22.5121 5.4435 2.8766 9.6919 6.1446 36.6357 44.3715 -103.0773 -24.5986
-166 6.0785 -22.3916 5.4435 2.8766 9.7669 6.1446 36.6325 44.3715 -103.0660 -24.5612
-165 6.2781 -22.2658 5.4435 2.8766 9.8475 6.1446 36.6289 44.3715 -103.0555 -24.5229
-164 7.7354 -22.1349 5.4435 2.8766 9.9337 6.1446 36.6251 44.3715 -103.0458 -24.4842
-163 2.2407 -21.9993 5.4435 2.8766 10.0252 6.1446 36.6210 44.3715 -103.0367 -24.4450
-162 5.4472 -21.8590 5.4435 2.8766 10.1221 6.1446 36.6166 44.3715 -103.0284 -24.4055
-161 -1.8801 -21.7141 5.4435 2.8766 10.2242 6.1446 36.6119 44.3715 -103.0207 -24.3656
-160 -3.1420 -21.5651 5.4435 2.8766 10.3313 6.1446 36.6069 44.3715 -103.0138 -24.3257
-159 -1.0345 -21.4121 5.4435 2.8766 10.4434 6.1446 36.6015 44.3715 -103.0076 -24.2857
-158 0.5774 -21.2553 5.4435 2.8766 10.5604 6.1446 36.5958 44.3715 -103.0020 -24.2458
-157 -2.8378 -21.0949 5.4435 2.8766 10.6820 6.1446 36.5899 44.3715 -102.9971 -24.2059
-156 -1.0515 -20.9310 5.4435 2.8766 10.8082 6.1446 36.5835 44.3715 -102.9927 -24.1663
-155 -1.1239 -20.7643 5.4435 2.8766 10.9389 6.1446 36.5769 44.3715 -102.9889 -24.1274
-154 4.2979 -20.5948 5.4435 2.8766 11.0738 6.1446 36.5698 44.3715 -102.9857 -24.0891
-153 5.4568 -20.4228 5.4435 2.8766 11.2129 6.1446 36.5625 44.3715 -102.9829 -24.0515
-152 -0.9138 -20.2483 5.4435 2.8766 11.3559 6.1446 36.5547 44.3715 -102.9805 -24.0146
-151 5.3920 -20.0715 5.4435 2.8766 11.5027 6.1446 36.5466 44.3715 -102.9785 -23.9786
-150 -2.5460 -19.8925 5.4435 2.8766 11.6532 6.1446 36.5381 44.3715 -102.9767 -23.9433
-149 -1.7480 -19.7114 5.4435 2.8766 11.8072 6.1446 36.5292 44.3715 -102.9751 -23.9090
-148 2.7844 -19.5284 5.4435 2.8766 11.9644 6.1446 36.5200 44.3715 -102.9735 -23.8755
-147 -2.6706 -19.3435 5.4435 2.8766 12.1248 6.1446 36.5103 44.3715 -102.9719 -23.8429
-146 -2.0295 -19.1569 5.4435 2.8766 12.2882 6.1446 36.5002 44.3715 -102.9702 -23.8113
-145 1.7397 -18.9687 5.4435 2.8766 12.4543 6.1446 36.4897 44.3715 -102.9681 -23.7807
-144 1.2718 -18.7789 5.4435 2.8766 12.6230 6.1446 36.4787 44.3715 -102.9656 -23.7512
-143 5.5552 -18.5875 5.4435 2.8766 12.7940 6.1446 36.4674 44.3715 -102.9625 -23.7226
-142 7.7014 -18.3947 5.4435 2.8766 12.9673 6.1446 36.4556 44.3715 -102.9587 -23.6952
-141 5.0847 -18.2006 5.4435 2.8766 13.1426 6.1446 36.4433 44.3715 -102.9538 -23.6688
-140 0.6084 -18.0050 5.4435 2.8766 13.3197 6.1446 36.4306 44.3715 -102.9479 -23.6436
-139 6.2771 -17.8081 5.4435 2.8766 13.4984 6.1446 36.4174 44.3715 -102.9405 -23.6195
-138 0.1149 -17.6098 5.4435 2.8766 13.6785 6.1446 36.4037 44.3715 -102.9316 -23.5966
-137 11.4998 -17.4101 5.4435 2.8766 13.8598 6.1446 36.3895 44.3715 -102.9209 -23.5748
-136 5.1909 -17.2087 5.4435 2.8766 14.0422 6.1446 36.3749 44.3715 -102.9082 -23.5538
-135 9.5283 -17.0055 5.4435 2.8766 14.2254 6.1446 36.3598 44.3715 -102.8932 -23.5337
-134 8.2108 -16.8005 5.4435 2.8766 14.4091 6.1446 36.3441 44.3715 -102.8756 -23.5144
-133 3.5531 -16.5937 5.4435 2.8766 14.5933 6.1446 36.3280 44.3715 -102.8552 -23.4961
-132 10.2357 -16.3851 5.4435 2.8766 14.7777 6.1446 36.3113 44.3715 -102.8317 -23.4787
