dih  Etot    EPtot   BOND   ANGLE  DIHED   1-4NB  1-4EEL  VDWAALS  EELEC EGB
-180 1.9388 -21.8472 5.4435 2.8766 18.5156 6.1446 27.5823 44.3715 -102.4396 -24.3417
-179 1.9388 -21.8472 5.4435 2.8766 18.5156 6.1446 27.5823 44.3715 -102.4396 -24.3417
-178 4.7550 -21.7527 5.4435 2.8766 18.5181 6.1446 27.5820 44.3715 -102.4240 -24.2650
-177 0.4526 -21.6528 5.4435 2.8766 18.5255 6.1446 27.5810 44.3715 -102.4090 -24.1866
-176 -1.3624 -21.5480 5.4435 2.8766 18.5379 6.1446 27.5794 44.3715 -102.3948 -24.1068
-175 2.3287 -21.4389 5.4435 2.8766 18.5552 6.1446 27.5772 44.3715 -102.3813 -24.0263
-174 4.5684 -21.3256 5.4435 2.8766 18.5775 6.1446 27.5744 44.3715 -102.3685 -23.9451
-173 5.0211 -21.2082 5.4435 2.8766 18.6046 6.1446 27.5709 44.3715 -102.3566 -23.8634
-172 -7.3065 -21.0868 5.4435 2.8766 18.6368 6.1446 27.5669 44.3715 -102.3455 -23.7811
-171 0.8069 -20.9615 5.4435 2.8766 18.6738 6.1446 27.5621 44.3715 -102.3352 -23.6984
-170 6.5178 -20.8323 5.4435 2.8766 18.7157 6.1446 27.5568 44.3715 -102.3258 -23.6153
-169 3.5305 -20.6994 5.4435 2.8766 18.7626 6.1446 27.5508 44.3715 -102.3172 -23.5317
-168 6.5068 -20.5629 5.4435 2.8766 18.8143 6.1446 27.5441 44.3715 -102.3096 -23.4479
-167 2.0590 -20.4227 5.4435 2.8766 18.8708 6.1446 27.5369 44.3715 -102.3028 -23.3638
-166 -1.3462 -20.2790 5.4435 2.8766 18.9322 6.1446 27.5290 44.3715 -102.2970 -23.2795
-165 -3.9145 -20.1320 5.4435 2.8766 18.9985 6.1446 27.5204 44.3715 -102.2921 -23.1950
-164 4.0150 -19.9816 5.4435 2.8766 19.0695 6.1446 27.5113 44.3715 -102.2882 -23.1104
-163 -3.9027 -19.8279 5.4435 2.8766 19.1453 6.1446 27.5015 44.3715 -102.2852 -23.0257
-162 0.1009 -19.6711 5.4435 2.8766 19.2258 6.1446 27.4910 44.3715 -102.2831 -22.9411
-161 1.9407 -19.5113 5.4435 2.8766 19.3110 6.1446 27.4799 44.3715 -102.2820 -22.8565
-160 8.2064 -19.3485 5.4435 2.8766 19.4010 6.1446 27.4682 44.3715 -102.2818 -22.7720
-159 1.7339 -19.1829 5.4435 2.8766 19.4955 6.1446 27.4558 44.3715 -102.2826 -22.6878
-158 -0.1674 -19.0144 5.4435 2.8766 19.5946 6.1446 27.4427 44.3715 -102.2843 -22.6038
-157 -1.0759 -18.8433 5.4435 2.8766 19.6983 6.1446 27.4291 44.3715 -102.2869 -22.5201
-156 12.2322 -18.6696 5.4435 2.8766 19.8065 6.1446 27.4147 44.3715 -102.2903 -22.4368
-155 8.2594 -18.4934 5.4435 2.8766 19.9191 6.1446 27.3998 44.3715 -102.2945 -22.3540
-154 8.8093 -18.3148 5.4435 2.8766 20.0361 6.1446 27.3841 44.3715 -102.2995 -22.2718
-153 5.7255 -18.1338 5.4435 2.8766 20.1575 6.1446 27.3678 44.3715 -102.3053 -22.1901
-152 4.7660 -17.9506 5.4435 2.8766 20.2831 6.1446 27.3509 44.3715 -102.3116 -22.1091
-151 7.1764 -17.7651 5.4435 2.8766 20.4129 6.1446 27.3333 44.3715 -102.3186 -22.0289
-150 8.7088 -17.5776 5.4435 2.8766 20.5467 6.1446 27.3150 44.3715 -102.3260 -21.9495
-149 7.1186 -17.3879 5.4435 2.8766 20.6847 6.1446 27.2961 44.3715 -102.3339 -21.8710
-148 6.4263 -17.1962 5.4435 2.8766 20.8265 6.1446 27.2765 44.3715 -102.3420 -21.7935
-147 3.3968 -17.0025 5.4435 2.8766 20.9723 6.1446 27.2563 44.3715 -102.3503 -21.7169
-146 4.7859 -16.8068 5.4435 2.8766 21.1217 6.1446 27.2354 44.3715 -102.3586 -21.6416
-145 6.8460 -16.6093 5.4435 2.8766 21.2749 6.1446 27.2138 44.3715 -102.3668 -21.5673
-144 7.4630 -16.4098 5.4435 2.8766 21.4315 6.1446 27.1915 44.3715 -102.3747 -21.4944
-143 12.0320 -16.2085 5.4435 2.8766 21.5916 6.1446 27.1686 44.3715 -102.3822 -21.4228
-142 3.8021 -16.0052 5.4435 2.8766 21.7551 6.1446 27.1450 44.3715 -102.3890 -21.3525
-141 8.1702 -15.8001 5.4435 2.8766 21.9217 6.1446 27.1208 44.3715 -102.3950 -21.2838
-140 7.1138 -15.5930 5.4435 2.8766 22.0914 6.1446 27.0959 44.3715 -102.3999 -21.2165
-139 7.7076 -15.3841 5.4435 2.8766 22.2640 6.1446 27.0703 44.3715 -102.4036 -21.1510
-138 3.7341 -15.1732 5.4435 2.8766 22.4393 6.1446 27.0440 44.3715 -102.4057 -21.0871
-137 7.4527 -14.9603 5.4435 2.8766 22.6173 6.1446 27.0170 44.3715 -102.4060 -21.0249
-136 3.5627 -14.7453 5.4435 2.8766 22.7978 6.1446 26.9894 44.3715 -102.4043 -20.9645
-135 12.1162 -14.5282 5.4435 2.8766 22.9806 6.1446 26.9611 44.3715 -102.4002 -20.9059
-134 6.3887 -14.3087 5.4435 2.8766 23.1656 6.1446 26.9321 44.3715 -102.3935 -20.8491
-133 11.6160 -14.0869 5.4435 2.8766 23.3525 6.1446 26.9025 44.3715 -102.3839 -20.7942
-132 5.6525 -13.8627 5.4435 2.8766 23.5413 6.1446 26.8721 44.3715 -102.3711 -20.7412
-131 6.2739 -13.6359 5.4435 2.8766 23.7317 6.1446 26.8411 44.3715 -102.3547 -20.6902
-130 -2.0482 -13.4065 5.4435 2.8766 23.9235 6.1446 26.8094 44.3715 -102.3345 -20.6411
-129 7.9826 -13.1744 5.4435 2.8766 24.1166 6.1446 26.7770 44.3715 -102.3101 -20.5942
-128 8.2332 -12.9400 5.4435 2.8766 24.3107 6.1446 26.7440 44.3715 -102.2812 -20.5497
-127 7.2207 -12.7031 5.4435 2.8766 24.5057 6.1446 26.7103 44.3715 -102.2475 -20.5078
-126 8.9809 -12.4636 5.4435 2.8766 24.7014 6.1446 26.6759 44.3715 -102.2087 -20.4683
-125 13.3989 -12.2214 5.4435 2.8766 24.8974 6.1446 26.6408 44.3715 -102.1645 -20.4313
-124 7.2038 -11.9764 5.4435 2.8766 25.0937 6.1446 26.6051 44.3715 -102.1147 -20.3968
-123 13.2646 -11.7286 5.4435 2.8766 25.2901 6.1446 26.5686 44.3715 -102.0589 -20.3647
-122 13.5502 -11.4779 5.4435 2.8766 25.4862 6.1446 26.5315 44.3715 -101.9968 -20.3351
-121 8.3177 -11.2244 5.4435 2.8766 25.6819 6.1446 26.4938 44.3715 -101.9284 -20.3079
-120 10.8183 -10.9681 5.4435 2.8766 25.8769 6.1446 26.4554 44.3715 -101.8533 -20.2833
-119 11.8548 -10.7091 5.4435 2.8766 26.0711 6.1446 26.4163 44.3715 -101.7714 -20.2613
-118 10.5341 -10.4474 5.4435 2.8766 26.2642 6.1446 26.3765 44.3715 -101.6825 -20.2418
-117 8.7031 -10.1830 5.4435 2.8766 26.4559 6.1446 26.3361 44.3715 -101.5866 -20.2247
