dih  Etot    EPtot   BOND   ANGLE  DIHED   1-4NB  1-4EEL  VDWAALS  EELEC EGB
-180 23.8737 2.4945 5.4435 2.8766 18.5156 6.1446 27.5823 44.3715 -102.4396 0.0000
-179 23.8737 2.4945 5.4435 2.8766 18.5156 6.1446 27.5823 44.3715 -102.4396 0.0000
-178 29.5964 2.5123 5.4435 2.8766 18.5181 6.1446 27.5820 44.3715 -102.4240 0.0000
-177 28.1496 2.5338 5.4435 2.8766 18.5255 6.1446 27.5810 44.3715 -102.4090 0.0000
-176 26.2177 2.5588 5.4435 2.8766 18.5379 6.1446 27.5794 44.3715 -102.3948 0.0000
-175 22.1364 2.5874 5.4435 2.8766 18.5552 6.1446 27.5772 44.3715 -102.3813 0.0000
-174 22.5652 2.6195 5.4435 2.8766 18.5775 6.1446 27.5744 44.3715 -102.3685 0.0000
-173 22.7210 2.6552 5.4435 2.8766 18.6046 6.1446 27.5709 44.3715 -102.3566 0.0000
-172 24.0802 2.6943 5.4435 2.8766 18.6368 6.1446 27.5669 44.3715 -102.3455 0.0000
-171 28.0355 2.7369 5.4435 2.8766 18.6738 6.1446 27.5621 44.3715 -102.3352 0.0000
-170 25.3732 2.7829 5.4435 2.8766 18.7157 6.1446 27.5568 44.3715 -102.3258 0.0000
-169 24.6258 2.8323 5.4435 2.8766 18.7626 6.1446 27.5508 44.3715 -102.3172 0.0000
-168 23.0491 2.8851 5.4435 2.8766 18.8143 6.1446 27.5441 44.3715 -102.3096 0.0000
-167 35.6981 2.9411 5.4435 2.8766 18.8708 6.1446 27.5369 44.3715 -102.3028 0.0000
-166 25.0259 3.0004 5.4435 2.8766 18.9322 6.1446 27.5290 44.3715 -102.2970 0.0000
-165 30.6879 3.0630 5.4435 2.8766 18.9985 6.1446 27.5204 44.3715 -102.2921 0.0000
-164 23.2710 3.1288 5.4435 2.8766 19.0695 6.1446 27.5113 44.3715 -102.2882 0.0000
-163 29.3792 3.1978 5.4435 2.8766 19.1453 6.1446 27.5015 44.3715 -102.2852 0.0000
-162 24.2840 3.2699 5.4435 2.8766 19.2258 6.1446 27.4910 44.3715 -102.2831 0.0000
-161 25.8936 3.3452 5.4435 2.8766 19.3110 6.1446 27.4799 44.3715 -102.2820 0.0000
-160 27.3960 3.4235 5.4435 2.8766 19.4010 6.1446 27.4682 44.3715 -102.2818 0.0000
-159 34.5874 3.5049 5.4435 2.8766 19.4955 6.1446 27.4558 44.3715 -102.2826 0.0000
-158 24.8432 3.5893 5.4435 2.8766 19.5946 6.1446 27.4427 44.3715 -102.2843 0.0000
-157 21.7622 3.6768 5.4435 2.8766 19.6983 6.1446 27.4291 44.3715 -102.2869 0.0000
-156 22.9121 3.7672 5.4435 2.8766 19.8065 6.1446 27.4147 44.3715 -102.2903 0.0000
-155 27.6773 3.8606 5.4435 2.8766 19.9191 6.1446 27.3998 44.3715 -102.2945 0.0000
-154 28.3628 3.9570 5.4435 2.8766 20.0361 6.1446 27.3841 44.3715 -102.2995 0.0000
-153 27.2468 4.0563 5.4435 2.8766 20.1575 6.1446 27.3678 44.3715 -102.3053 0.0000
-152 25.1843 4.1585 5.4435 2.8766 20.2831 6.1446 27.3509 44.3715 -102.3116 0.0000
-151 27.1180 4.2638 5.4435 2.8766 20.4129 6.1446 27.3333 44.3715 -102.3186 0.0000
-150 22.2319 4.3720 5.4435 2.8766 20.5467 6.1446 27.3150 44.3715 -102.3260 0.0000
-149 29.3588 4.4831 5.4435 2.8766 20.6847 6.1446 27.2961 44.3715 -102.3339 0.0000
-148 23.4452 4.5973 5.4435 2.8766 20.8265 6.1446 27.2765 44.3715 -102.3420 0.0000
-147 20.7651 4.7145 5.4435 2.8766 20.9723 6.1446 27.2563 44.3715 -102.3503 0.0000
-146 31.3839 4.8347 5.4435 2.8766 21.1217 6.1446 27.2354 44.3715 -102.3586 0.0000
-145 26.0542 4.9581 5.4435 2.8766 21.2749 6.1446 27.2138 44.3715 -102.3668 0.0000
-144 24.4761 5.0846 5.4435 2.8766 21.4315 6.1446 27.1915 44.3715 -102.3747 0.0000
-143 29.4610 5.2143 5.4435 2.8766 21.5916 6.1446 27.1686 44.3715 -102.3822 0.0000
-142 25.3159 5.3473 5.4435 2.8766 21.7551 6.1446 27.1450 44.3715 -102.3890 0.0000
-141 28.6663 5.4837 5.4435 2.8766 21.9217 6.1446 27.1208 44.3715 -102.3950 0.0000
-140 29.9549 5.6235 5.4435 2.8766 22.0914 6.1446 27.0959 44.3715 -102.3999 0.0000
-139 24.7839 5.7668 5.4435 2.8766 22.2640 6.1446 27.0703 44.3715 -102.4036 0.0000
-138 32.7926 5.9138 5.4435 2.8766 22.4393 6.1446 27.0440 44.3715 -102.4057 0.0000
-137 35.4031 6.0646 5.4435 2.8766 22.6173 6.1446 27.0170 44.3715 -102.4060 0.0000
-136 29.8605 6.2192 5.4435 2.8766 22.7978 6.1446 26.9894 44.3715 -102.4043 0.0000
-135 28.4515 6.3777 5.4435 2.8766 22.9806 6.1446 26.9611 44.3715 -102.4002 0.0000
-134 30.8921 6.5404 5.4435 2.8766 23.1656 6.1446 26.9321 44.3715 -102.3935 0.0000
-133 25.8583 6.7073 5.4435 2.8766 23.3525 6.1446 26.9025 44.3715 -102.3839 0.0000
-132 29.9964 6.8786 5.4435 2.8766 23.5413 6.1446 26.8721 44.3715 -102.3711 0.0000
-131 30.3393 7.0543 5.4435 2.8766 23.7317 6.1446 26.8411 44.3715 -102.3547 0.0000
