dih  Etot    EPtot   BOND   ANGLE  DIHED   1-4NB  1-4EEL  VDWAALS  EELEC EGB
-180 -4.1847 -20.8729 5.4435 2.8766 -2.8966 6.1446 53.1199 44.3715 -107.9299 -22.0025
-179 -4.1847 -20.8729 5.4435 2.8766 -2.8966 6.1446 53.1199 44.3715 -107.9299 -22.0025
-178 9.8994 -20.8098 5.4435 2.8766 -2.8935 6.1446 53.1198 44.3715 -107.9287 -21.9437
-177 2.7406 -20.7402 5.4435 2.8766 -2.8840 6.1446 53.1196 44.3715 -107.9285 -21.8836
-176 -0.2680 -20.6646 5.4435 2.8766 -2.8683 6.1446 53.1194 44.3715 -107.9293 -21.8227
-175 -0.7481 -20.5834 5.4435 2.8766 -2.8463 6.1446 53.1190 44.3715 -107.9312 -21.7612
-174 3.8088 -20.4968 5.4435 2.8766 -2.8181 6.1446 53.1186 44.3715 -107.9342 -21.6993
-173 9.5689 -20.4048 5.4435 2.8766 -2.7837 6.1446 53.1180 44.3715 -107.9383 -21.6370
-172 0.7916 -20.3075 5.4435 2.8766 -2.7431 6.1446 53.1174 44.3715 -107.9435 -21.5745
-171 3.7707 -20.2051 5.4435 2.8766 -2.6964 6.1446 53.1166 44.3715 -107.9498 -21.5116
-170 1.9211 -20.0976 5.4435 2.8766 -2.6436 6.1446 53.1157 44.3715 -107.9573 -21.4485
-169 3.1786 -19.9851 5.4435 2.8766 -2.5849 6.1446 53.1147 44.3715 -107.9659 -21.3852
-168 4.9451 -19.8678 5.4435 2.8766 -2.5203 6.1446 53.1135 44.3715 -107.9757 -21.3217
-167 3.2408 -19.7458 5.4435 2.8766 -2.4498 6.1446 53.1123 44.3715 -107.9865 -21.2580
-166 2.2222 -19.6193 5.4435 2.8766 -2.3735 6.1446 53.1109 44.3715 -107.9986 -21.1943
-165 2.3743 -19.4882 5.4435 2.8766 -2.2916 6.1446 53.1093 44.3715 -108.0117 -21.1304
-164 -4.0979 -19.3528 5.4435 2.8766 -2.2042 6.1446 53.1077 44.3715 -108.0260 -21.0665
-163 8.2813 -19.2132 5.4435 2.8766 -2.1112 6.1446 53.1059 44.3715 -108.0414 -21.0026
-162 3.7944 -19.0696 5.4435 2.8766 -2.0130 6.1446 53.1039 44.3715 -108.0580 -20.9388
-161 6.5256 -18.9221 5.4435 2.8766 -1.9095 6.1446 53.1018 44.3715 -108.0755 -20.8750
-160 6.1803 -18.7708 5.4435 2.8766 -1.8009 6.1446 53.0995 44.3715 -108.0942 -20.8114
-159 1.1218 -18.6160 5.4435 2.8766 -1.6874 6.1446 53.0970 44.3715 -108.1138 -20.7480
-158 0.4468 -18.4577 5.4435 2.8766 -1.5690 6.1446 53.0944 44.3715 -108.1345 -20.6848
-157 5.0865 -18.2961 5.4435 2.8766 -1.4460 6.1446 53.0915 44.3715 -108.1560 -20.6219
-156 5.2260 -18.1314 5.4435 2.8766 -1.3184 6.1446 53.0885 44.3715 -108.1785 -20.5593
-155 -0.1882 -17.9637 5.4435 2.8766 -1.1865 6.1446 53.0853 44.3715 -108.2017 -20.4970
-154 4.7794 -17.7932 5.4435 2.8766 -1.0503 6.1446 53.0818 44.3715 -108.2257 -20.4353
-153 6.3182 -17.6199 5.4435 2.8766 -0.9101 6.1446 53.0782 44.3715 -108.2503 -20.3740
-152 7.5391 -17.4442 5.4435 2.8766 -0.7660 6.1446 53.0743 44.3715 -108.2754 -20.3132
-151 4.2116 -17.2659 5.4435 2.8766 -0.6182 6.1446 53.0702 44.3715 -108.3011 -20.2531
-150 9.6757 -17.0855 5.4435 2.8766 -0.4669 6.1446 53.0658 44.3715 -108.3270 -20.1936
-149 5.3870 -16.9028 5.4435 2.8766 -0.3122 6.1446 53.0612 44.3715 -108.3532 -20.1348
-148 4.3948 -16.7181 5.4435 2.8766 -0.1544 6.1446 53.0563 44.3715 -108.3794 -20.0767
-147 10.5929 -16.5314 5.4435 2.8766 0.0063 6.1446 53.0511 44.3715 -108.4055 -20.0195
-146 4.4958 -16.3428 5.4435 2.8766 0.1699 6.1446 53.0457 44.3715 -108.4314 -19.9632
-145 3.7801 -16.1525 5.4435 2.8766 0.3360 6.1446 53.0400 44.3715 -108.4568 -19.9078
-144 8.5135 -15.9605 5.4435 2.8766 0.5044 6.1446 53.0339 44.3715 -108.4816 -19.8534
-143 5.9036 -15.7667 5.4435 2.8766 0.6750 6.1446 53.0276 44.3715 -108.5055 -19.8001
-142 2.8150 -15.5714 5.4435 2.8766 0.8476 6.1446 53.0210 44.3715 -108.5284 -19.7478
-141 3.0812 -15.3745 5.4435 2.8766 1.0219 6.1446 53.0140 44.3715 -108.5499 -19.6968
-140 7.9744 -15.1761 5.4435 2.8766 1.1977 6.1446 53.0067 44.3715 -108.5698 -19.6469
-139 6.8572 -14.9761 5.4435 2.8766 1.3749 6.1446 52.9990 44.3715 -108.5879 -19.5984
-138 15.8642 -14.7746 5.4435 2.8766 1.5531 6.1446 52.9910 44.3715 -108.6038 -19.5512
-137 2.5288 -14.5716 5.4435 2.8766 1.7322 6.1446 52.9827 44.3715 -108.6173 -19.5054
-136 4.3006 -14.3669 5.4435 2.8766 1.9120 6.1446 52.9739 44.3715 -108.6280 -19.4610
-135 4.0423 -14.1605 5.4435 2.8766 2.0922 6.1446 52.9648 44.3715 -108.6357 -19.4181
-134 12.2528 -13.9523 5.4435 2.8766 2.2727 6.1446 52.9553 44.3715 -108.6400 -19.3766
-133 8.5668 -13.7424 5.4435 2.8766 2.4531 6.1446 52.9454 44.3715 -108.6405 -19.3367
-132 8.9432 -13.5304 5.4435 2.8766 2.6334 6.1446 52.9352 44.3715 -108.6369 -19.2983
-131 11.6472 -13.3165 5.4435 2.8766 2.8132 6.1446 52.9245 44.3715 -108.6288 -19.2615
-130 8.6266 -13.1005 5.4435 2.8766 2.9923 6.1446 52.9134 44.3715 -108.6160 -19.2264
-129 7.7774 -12.8823 5.4435 2.8766 3.1706 6.1446 52.9018 44.3715 -108.5980 -19.1930
-128 9.3378 -12.6622 5.4435 2.8766 3.3478 6.1446 52.8898 44.3715 -108.5745 -19.1616
-127 6.6396 -12.4401 5.4435 2.8766 3.5237 6.1446 52.8774 44.3715 -108.5451 -19.1323
-126 12.9503 -12.2157 5.4435 2.8766 3.6980 6.1446 52.8646 44.3715 -108.5095 -19.1051
-125 9.6963 -11.9891 5.4435 2.8766 3.8707 6.1446 52.8513 44.3715 -108.4674 -19.0799
-124 10.7879 -11.7601 5.4435 2.8766 4.0414 6.1446 52.8375 44.3715 -108.4184 -19.0569
-123 12.3948 -11.5287 5.4435 2.8766 4.2099 6.1446 52.8233 44.3715 -108.3623 -19.0359
-122 14.6954 -11.2947 5.4435 2.8766 4.3761 6.1446 52.8086 44.3715 -108.2987 -19.0170
-121 7.0109 -11.0582 5.4435 2.8766 4.5398 6.1446 52.7935 44.3715 -108.2275 -19.0001
-120 14.3625 -10.8192 5.4435 2.8766 4.7006 6.1446 52.7778 44.3715 -108.1484 -18.9855
-119 11.1318 -10.5778 5.4435 2.8766 4.8586 6.1446 52.7617 44.3715 -108.0612 -18.9731
-118 7.2300 -10.3340 5.4435 2.8766 5.0134 6.1446 52.7451 44.3715 -107.9657 -18.9629
-117 7.8278 -10.0877 5.4435 2.8766 5.1648 6.1446 52.7280 44.3715 -107.8620 -18.9548
-116 18.9461 -9.8391 5.4435 2.8766 5.3128 6.1446 52.7104 44.3715 -107.7498 -18.9487
-115 16.7677 -9.5882 5.4435 2.8766 5.4570 6.1446 52.6923 44.3715 -107.6292 -18.9446
-114 11.5343 -9.3353 5.4435 2.8766 5.5974 6.1446 52.6737 44.3715 -107.5002 -18.9425
-113 19.9994 -9.0806 5.4435 2.8766 5.7338 6.1446 52.6546 44.3715 -107.3628 -18.9423
-112 14.3244 -8.8242 5.4435 2.8766 5.8659 6.1446 52.6350 44.3715 -107.2173 -18.9441
-111 8.4010 -8.5665 5.4435 2.8766 5.9937 6.1446 52.6148 44.3715 -107.0637 -18.9476
-110 15.0156 -8.3079 5.4435 2.8766 6.1169 6.1446 52.5942 44.3715 -106.9023 -18.9529
-109 11.0314 -8.0487 5.4435 2.8766 6.2355 6.1446 52.5731 44.3715 -106.7335 -18.9600
-108 22.4851 -7.7894 5.4435 2.8766 6.3493 6.1446 52.5514 44.3715 -106.5575 -18.9688
-107 16.3302 -7.5304 5.4435 2.8766 6.4581 6.1446 52.5292 44.3715 -106.3748 -18.9792
-106 14.7149 -7.2724 5.4435 2.8766 6.5618 6.1446 52.5066 44.3715 -106.1858 -18.9911
-105 12.1583 -7.0159 5.4435 2.8766 6.6603 6.1446 52.4834 44.3715 -105.9911 -19.0046
-104 9.5765 -6.7614 5.4435 2.8766 6.7535 6.1446 52.4597 44.3715 -105.7911 -19.0196
-103 15.0082 -6.5098 5.4435 2.8766 6.8412 6.1446 52.4354 44.3715 -105.5866 -19.0360
-102 12.4619 -6.2616 5.4435 2.8766 6.9233 6.1446 52.4107 44.3715 -105.3781 -19.0538
-101 17.9837 -6.0176 5.4435 2.8766 6.9999 6.1446 52.3855 44.3715 -105.1663 -19.0729
-100 13.9073 -5.7785 5.4435 2.8766 7.0706 6.1446 52.3597 44.3715 -104.9519 -19.0932
-99 16.5905 -5.5452 5.4435 2.8766 7.1356 6.1446 52.3335 44.3715 -104.7358 -19.1147
-98 17.8151 -5.3184 5.4435 2.8766 7.1946 6.1446 52.3068 44.3715 -104.5185 -19.1374
-97 21.6696 -5.0988 5.4435 2.8766 7.2477 6.1446 52.2795 44.3715 -104.3010 -19.1612
-96 18.5290 -4.8873 5.4435 2.8766 7.2947 6.1446 52.2518 44.3715 -104.0840 -19.1860
-95 21.1714 -4.6847 5.4435 2.8766 7.3356 6.1446 52.2236 44.3715 -103.8683 -19.2118
-94 21.4853 -4.4917 5.4435 2.8766 7.3703 6.1446 52.1949 44.3715 -103.6547 -19.2385
-93 19.7550 -4.3092 5.4435 2.8766 7.3989 6.1446 52.1657 44.3715 -103.4439 -19.2660
-92 16.9058 -4.1378 5.4435 2.8766 7.4212 6.1446 52.1360 44.3715 -103.2368 -19.2944
-91 25.0514 -3.9782 5.4435 2.8766 7.4373 6.1446 52.1059 44.3715 -103.0341 -19.3236
