dih  Etot    EPtot   BOND   ANGLE  DIHED   1-4NB  1-4EEL  VDWAALS  EELEC EGB
-180 -17.8727 -30.8342 5.4435 2.8766 11.5040 6.1446 27.5823 44.3715 -102.4396 -26.3171
-179 -17.8727 -30.8342 5.4435 2.8766 11.5040 6.1446 27.5823 44.3715 -102.4396 -26.3171
-178 -10.3059 -30.7848 5.4435 2.8766 11.5071 6.1446 27.5820 44.3715 -102.4240 -26.2861
-177 -6.5482 -30.7295 5.4435 2.8766 11.5164 6.1446 27.5810 44.3715 -102.4090 -26.2542
-176 -8.1955 -30.6687 5.4435 2.8766 11.5318 6.1446 27.5794 44.3715 -102.3948 -26.2214
-175 -9.0962 -30.6022 5.4435 2.8766 11.5534 6.1446 27.5772 44.3715 -102.3813 -26.1879
-174 -5.5478 -30.5303 5.4435 2.8766 11.5811 6.1446 27.5744 44.3715 -102.3685 -26.1535
-173 -1.0933 -30.4528 5.4435 2.8766 11.6149 6.1446 27.5709 44.3715 -102.3566 -26.1183
-172 -1.9050 -30.3698 5.4435 2.8766 11.6548 6.1446 27.5669 44.3715 -102.3455 -26.0822
-171 -10.4091 -30.2815 5.4435 2.8766 11.7007 6.1446 27.5621 44.3715 -102.3352 -26.0453
-170 -10.0826 -30.1878 5.4435 2.8766 11.7525 6.1446 27.5568 44.3715 -102.3258 -26.0075
-169 -6.7427 -30.0888 5.4435 2.8766 11.8103 6.1446 27.5508 44.3715 -102.3172 -25.9689
-168 -9.0999 -29.9847 5.4435 2.8766 11.8739 6.1446 27.5441 44.3715 -102.3096 -25.9293
-167 4.3147 -29.8753 5.4435 2.8766 11.9432 6.1446 27.5369 44.3715 -102.3028 -25.8888
-166 -6.4213 -29.7609 5.4435 2.8766 12.0182 6.1446 27.5290 44.3715 -102.2970 -25.8474
-165 -7.3590 -29.6416 5.4435 2.8766 12.0989 6.1446 27.5204 44.3715 -102.2921 -25.8050
-164 -15.0532 -29.5176 5.4435 2.8766 12.1850 6.1446 27.5113 44.3715 -102.2882 -25.7620
-163 -9.5970 -29.3893 5.4435 2.8766 12.2766 6.1446 27.5015 44.3715 -102.2852 -25.7184
-162 -6.7491 -29.2569 5.4435 2.8766 12.3734 6.1446 27.4910 44.3715 -102.2831 -25.6745
-161 -2.8547 -29.1204 5.4435 2.8766 12.4755 6.1446 27.4799 44.3715 -102.2820 -25.6300
-160 -7.1944 -28.9802 5.4435 2.8766 12.5827 6.1446 27.4682 44.3715 -102.2818 -25.5854
-159 0.1865 -28.8366 5.4435 2.8766 12.6948 6.1446 27.4558 44.3715 -102.2826 -25.5408
-158 -2.0128 -28.6897 5.4435 2.8766 12.8117 6.1446 27.4427 44.3715 -102.2843 -25.4961
-157 -4.5419 -28.5396 5.4435 2.8766 12.9334 6.1446 27.4291 44.3715 -102.2869 -25.4514
-156 -4.6458 -28.3867 5.4435 2.8766 13.0596 6.1446 27.4147 44.3715 -102.2903 -25.4070
-155 0.2475 -28.2314 5.4435 2.8766 13.1903 6.1446 27.3998 44.3715 -102.2945 -25.3632
-154 1.2109 -28.0740 5.4435 2.8766 13.3252 6.1446 27.3841 44.3715 -102.2995 -25.3200
-153 -7.7694 -27.9145 5.4435 2.8766 13.4642 6.1446 27.3678 44.3715 -102.3053 -25.2776
-152 -5.6469 -27.7532 5.4435 2.8766 13.6073 6.1446 27.3509 44.3715 -102.3116 -25.2359
-151 -1.2653 -27.5900 5.4435 2.8766 13.7541 6.1446 27.3333 44.3715 -102.3186 -25.1950
-150 -6.4572 -27.4252 5.4435 2.8766 13.9046 6.1446 27.3150 44.3715 -102.3260 -25.1550
-149 8.0477 -27.2588 5.4435 2.8766 14.0585 6.1446 27.2961 44.3715 -102.3339 -25.1158
-148 -4.4940 -27.0909 5.4435 2.8766 14.2158 6.1446 27.2765 44.3715 -102.3420 -25.0775
-147 -5.2081 -26.9217 5.4435 2.8766 14.3762 6.1446 27.2563 44.3715 -102.3503 -25.0402
-146 -8.3334 -26.7513 5.4435 2.8766 14.5395 6.1446 27.2354 44.3715 -102.3586 -25.0038
-145 2.5134 -26.5796 5.4435 2.8766 14.7056 6.1446 27.2138 44.3715 -102.3668 -24.9685
-144 2.0154 -26.4068 5.4435 2.8766 14.8743 6.1446 27.1915 44.3715 -102.3747 -24.9342
-143 -6.1226 -26.2329 5.4435 2.8766 15.0454 6.1446 27.1686 44.3715 -102.3822 -24.9009
-142 -3.0908 -26.0579 5.4435 2.8766 15.2186 6.1446 27.1450 44.3715 -102.3890 -24.8688
-141 -3.8356 -25.8818 5.4435 2.8766 15.3939 6.1446 27.1208 44.3715 -102.3950 -24.8378
-140 -2.8096 -25.7047 5.4435 2.8766 15.5710 6.1446 27.0959 44.3715 -102.3999 -24.8079
-139 -4.7444 -25.5266 5.4435 2.8766 15.7497 6.1446 27.0703 44.3715 -102.4036 -24.7792
-138 -7.1479 -25.3474 5.4435 2.8766 15.9298 6.1446 27.0440 44.3715 -102.4057 -24.7518
-137 -2.7861 -25.1669 5.4435 2.8766 16.1112 6.1446 27.0170 44.3715 -102.4060 -24.7254
-136 -2.4628 -24.9849 5.4435 2.8766 16.2935 6.1446 26.9894 44.3715 -102.4043 -24.6998
-135 -3.5004 -24.8013 5.4435 2.8766 16.4767 6.1446 26.9611 44.3715 -102.4002 -24.6752
-134 5.6355 -24.6161 5.4435 2.8766 16.6605 6.1446 26.9321 44.3715 -102.3935 -24.6514
-133 -0.2019 -24.4291 5.4435 2.8766 16.8447 6.1446 26.9025 44.3715 -102.3839 -24.6286
-132 3.2841 -24.2403 5.4435 2.8766 17.0291 6.1446 26.8721 44.3715 -102.3711 -24.6067
-131 -2.7950 -24.0496 5.4435 2.8766 17.2135 6.1446 26.8411 44.3715 -102.3547 -24.5857
-130 -4.7262 -23.8570 5.4435 2.8766 17.3977 6.1446 26.8094 44.3715 -102.3345 -24.5658
-129 2.6068 -23.6622 5.4435 2.8766 17.5815 6.1446 26.7770 44.3715 -102.3101 -24.5469
-128 -5.2266 -23.4653 5.4435 2.8766 17.7647 6.1446 26.7440 44.3715 -102.2812 -24.5290
-127 2.0530 -23.2660 5.4435 2.8766 17.9471 6.1446 26.7103 44.3715 -102.2475 -24.5121
-126 -0.9048 -23.0644 5.4435 2.8766 18.1285 6.1446 26.6759 44.3715 -102.2087 -24.4963
-125 3.1435 -22.8604 5.4435 2.8766 18.3087 6.1446 26.6408 44.3715 -102.1645 -24.4816
-124 -2.3383 -22.6538 5.4435 2.8766 18.4875 6.1446 26.6051 44.3715 -102.1147 -24.4679
-123 4.7361 -22.4446 5.4435 2.8766 18.6647 6.1446 26.5686 44.3715 -102.0589 -24.4553
-122 4.4396 -22.2328 5.4435 2.8766 18.8402 6.1446 26.5315 44.3715 -101.9968 -24.4439
-121 -4.5942 -22.0182 5.4435 2.8766 19.0136 6.1446 26.4938 44.3715 -101.9284 -24.4335
-120 0.0867 -21.8010 5.4435 2.8766 19.1850 6.1446 26.4554 44.3715 -101.8533 -24.4243
-119 3.4327 -21.5811 5.4435 2.8766 19.3540 6.1446 26.4163 44.3715 -101.7714 -24.4162
-118 -1.3445 -21.3585 5.4435 2.8766 19.5205 6.1446 26.3765 44.3715 -101.6825 -24.4092
-117 7.3780 -21.1333 5.4435 2.8766 19.6843 6.1446 26.3361 44.3715 -101.5866 -24.4034
-116 0.2068 -20.9057 5.4435 2.8766 19.8452 6.1446 26.2951 44.3715 -101.4836 -24.3987
-115 5.5066 -20.6757 5.4435 2.8766 20.0031 6.1446 26.2533 44.3715 -101.3734 -24.3950
-114 8.9834 -20.4433 5.4435 2.8766 20.1578 6.1446 26.2110 44.3715 -101.2560 -24.3924
-113 -1.2687 -20.2089 5.4435 2.8766 20.3092 6.1446 26.1680 44.3715 -101.1316 -24.3907
-112 4.2020 -19.9726 5.4435 2.8766 20.4570 6.1446 26.1243 44.3715 -101.0001 -24.3900
-111 1.8646 -19.7347 5.4435 2.8766 20.6012 6.1446 26.0800 44.3715 -100.8619 -24.3902
-110 8.3391 -19.4955 5.4435 2.8766 20.7416 6.1446 26.0351 44.3715 -100.7170 -24.3914
-109 -3.2256 -19.2556 5.4435 2.8766 20.8780 6.1446 25.9895 44.3715 -100.5657 -24.3936
-108 5.0952 -19.0152 5.4435 2.8766 21.0103 6.1446 25.9434 44.3715 -100.4084 -24.3967
-107 1.1421 -18.7749 5.4435 2.8766 21.1383 6.1446 25.8966 44.3715 -100.2453 -24.4007
-106 10.0213 -18.5351 5.4435 2.8766 21.2621 6.1446 25.8492 44.3715 -100.0769 -24.4057
-105 4.0638 -18.2965 5.4435 2.8766 21.3813 6.1446 25.8012 44.3715 -99.9036 -24.4116
